"Età  x","Sopravviventi  lx","Decessi  dx","Probabilità di morte (per mille)  qx","Anni vissuti  Lx","Probabilità prospettive di sopravvivenza  Px","Speranza di vita  ex","Note"
"0","100000","257","2.56536","99759","0.9997509","83.689","s"
"1","99743","19","0.19475","99734","0.9998319","82.903","s"
"2","99724","14","0.14146","99717","0.9998748","81.919","s"
"3","99710","11","0.10900","99704","0.9999002","80.930","s"
"4","99699","9","0.09060","99695","0.9999120","79.939","s"
"5","99690","9","0.08531","99686","0.9999157","78.946","s"
"6","99682","8","0.08325","99677","0.9999185","77.953","s"
"7","99673","8","0.07974","99669","0.9999224","76.959","s"
"8","99665","8","0.07544","99662","0.9999259","75.965","s"
"9","99658","7","0.07267","99654","0.9999280","74.971","s"
"10","99651","7","0.07135","99647","0.9999269","73.976","s"
"11","99643","7","0.07491","99640","0.9999191","72.982","s"
"12","99636","9","0.08684","99632","0.9999045","71.987","s"
"13","99627","10","0.10416","99622","0.9998850","70.993","s"
"14","99617","13","0.12588","99611","0.9998619","70.001","s"
"15","99604","15","0.15038","99597","0.9998376","69.009","s"
"16","99589","17","0.17441","99581","0.9998126","68.020","s"
"17","99572","20","0.20032","99562","0.9997830","67.031","s"
"18","99552","23","0.23371","99540","0.9997564","66.045","s"
"19","99529","25","0.25354","99516","0.9997408","65.060","s"
"20","99504","26","0.26491","99490","0.9997343","64.076","s"
"21","99477","27","0.26653","99464","0.9997333","63.093","s"
"22","99451","27","0.26680","99437","0.9997307","62.110","s"
"23","99424","27","0.27184","99411","0.9997231","61.126","s"
"24","99397","28","0.28193","99383","0.9997166","60.143","s"
"25","99369","28","0.28491","99355","0.9997142","59.160","s"
"26","99341","28","0.28672","99327","0.9997082","58.176","s"
"27","99312","29","0.29693","99298","0.9996952","57.193","s"
"28","99283","31","0.31275","99267","0.9996767","56.210","s"
"29","99252","33","0.33392","99235","0.9996536","55.227","s"
"30","99219","36","0.35879","99201","0.9996328","54.246","s"
"31","99183","37","0.37569","99164","0.9996187","53.265","s"
"32","99146","38","0.38683","99127","0.9996015","52.285","s"
"33","99107","41","0.41017","99087","0.9995733","51.305","s"
"34","99067","44","0.44324","99045","0.9995451","50.326","s"
"35","99023","46","0.46650","99000","0.9995145","49.348","s"
"36","98977","50","0.50457","98952","0.9994744","48.370","s"
"37","98927","54","0.54671","98900","0.9994246","47.395","s"
"38","98873","60","0.60418","98843","0.9993648","46.420","s"
"39","98813","66","0.66621","98780","0.9992978","45.448","s"
"40","98747","73","0.73815","98711","0.9992354","44.478","s"
"41","98674","78","0.79100","98635","0.9991676","43.510","s"
"42","98596","86","0.87381","98553","0.9990787","42.545","s"
"43","98510","95","0.96882","98462","0.9989739","41.581","s"
"44","98415","107","1.08347","98361","0.9988557","40.621","s"
"45","98308","118","1.20518","98249","0.9987305","39.665","s"
"46","98189","131","1.33395","98124","0.9985999","38.712","s"
"47","98058","144","1.46636","97987","0.9984649","37.763","s"
"48","97915","157","1.60403","97836","0.9983348","36.818","s"
"49","97758","169","1.72645","97673","0.9982139","35.876","s"
"50","97589","180","1.84577","97499","0.9980777","34.937","s"
"51","97409","195","1.99893","97311","0.9979255","34.001","s"
"52","97214","209","2.15021","97109","0.9977542","33.068","s"
"53","97005","227","2.34164","96891","0.9975442","32.138","s"
"54","96778","249","2.57017","96653","0.9973003","31.212","s"
"55","96529","273","2.82958","96393","0.9970333","30.292","s"
"56","96256","299","3.10427","96107","0.9967404","29.376","s"
"57","95957","328","3.41550","95793","0.9964163","28.466","s"
"58","95629","359","3.75257","95450","0.9960767","27.562","s"
"59","95271","390","4.09468","95075","0.9957259","26.664","s"
"60","94880","423","4.45420","94669","0.9953193","25.771","s"
"61","94458","464","4.90825","94226","0.9948559","24.884","s"
"62","93994","506","5.38119","93741","0.9943467","24.005","s"
"63","93488","554","5.92679","93211","0.9937522","23.132","s"
"64","92934","611","6.57078","92629","0.9930581","22.267","s"
"65","92324","675","7.31549","91986","0.9922938","21.411","s"
"66","91648","742","8.09970","91277","0.9914629","20.565","s"
"67","90906","816","8.97807","90498","0.9905777","19.729","s"
"68","90090","889","9.87063","89645","0.9896900","18.903","s"
"69","89201","959","10.75368","88721","0.9887500","18.086","s"
"70","88241","1037","11.75177","87723","0.9876191","17.278","s"
"71","87204","1135","13.01744","86637","0.9861682","16.477","s"
"72","86069","1262","14.65686","85438","0.9845003","15.688","s"
